Judul,Date,Link
[SALAH] Penyelenggaraan Hajatan dan Hiburan sudah Diperbolehkan oleh Bupati Sukoharjo,"Agustus 27, 2021",https://turnbackhoax.id/2021/08/27/salah-penyelenggaraan-hajatan-dan-hiburan-sudah-diperbolehkan-oleh-bupati-sukoharjo/
[SALAH] Foto Pemimpin Taliban Minum Wiski,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-foto-pemimpin-taliban-minum-wiski/
[SALAH] Pria yang di Tengah Presiden Soekarno dan Jendral Soedirman adalah Ayahanda Rizieq Shihab,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-pria-yang-di-tengah-presiden-soekarno-dan-jendral-soedirman-adalah-ayahanda-rizieq-shihab/
[SALAH] Foto Penggundulan Hutan di Kalimantan Barat,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-foto-penggundulan-hutan-di-kalimantan-barat/
[SALAH] Akun Telegram PT Kresna Graha Investama Tbk Menawarkan Skema Investasi Kontrak Harian dan Mingguan,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-akun-telegram-pt-kresna-graha-investama-tbk-menawarkan-skema-investasi-kontrak-harian-dan-mingguan/
[SALAH] SMS dari Whatsapp yang membagikan hadiah RP175 juta,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-sms-dari-whatsapp-yang-membagikan-hadiah-rp175-juta/
[SALAH] “Umami: Campuran tulang BABI”,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-umami-campuran-tulang-babi/
"[SALAH] Lowongan Kerja PT. Astra International, Tbk","Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-lowongan-kerja-pt-astra-international-tbk/
[SALAH] Foto Tentara Taliban dengan Perlengkapan Militer,"Agustus 26, 2021",https://turnbackhoax.id/2021/08/26/salah-foto-tentara-taliban-dengan-perlengkapan-militer/
"[SALAH] Wagub Terpilih: Berani Deklarasi Ganti Presiden di Papua, Kamu Bakal Pulang Tanpa Kepala","Agustus 25, 2021",https://turnbackhoax.id/2021/08/25/salah-wagub-terpilih-berani-deklarasi-ganti-presiden-di-papua-kamu-bakal-pulang-tanpa-kepala/
[SALAH] “MULAI TANGGAL 22 AGUSTUS 2021 SEMUA SPBU TIDAK MELAYANI PENGISIAN PERTALITE UNTUK 2 TAK”,"Agustus 25, 2021",https://turnbackhoax.id/2021/08/25/salah-mulai-tanggal-22-agustus-2021-semua-spbu-tidak-melayani-pengisian-pertalite-untuk-2-tak/
[SALAH] Bendera Merah Putih Dilarang Berkibar di PIK,"Agustus 25, 2021",https://turnbackhoax.id/2021/08/25/salah-bendera-merah-putih-dilarang-berkibar-di-pik/
[SALAH] Foto “Pria gay di Iran beberapa menit sebelum mereka digantung”,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-foto-pria-gay-di-iran-beberapa-menit-sebelum-mereka-digantung/
[SALAH] Vaksin di Gedung Gradika Bakti ditujukan untuk 18-59 Tahun,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-vaksin-di-gedung-gradika-bakti-ditujukan-untuk-18-59-tahun/
[SALAH] Akun Facebook Wali Kota Samarinda Andi Harun,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-akun-facebook-wali-kota-samarinda-andi-harun/
[SALAH] Foto Jokowi Membaca Buku “SBY SELALU MANGKRAK”,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-foto-jokowi-membaca-buku-sby-selalu-mangkrak/
[SALAH] Lowongan Kerja PT. Jasa Raharja,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-lowongan-kerja-pt-jasa-raharja/
[SALAH] Akun Whatsapp Sekretaris Daerah Kota Bengkulu Arif Gunardi “081230188540”,"Agustus 24, 2021",https://turnbackhoax.id/2021/08/24/salah-akun-whatsapp-sekretaris-daerah-kota-bengkulu-arif-gunardi-081230188540/
"[SALAH] Video “warga Pemulutan, salah satu kampung di Kab. Ogan Ilir, Sumsel sdh akrab bermain dg buaya”","Agustus 23, 2021",https://turnbackhoax.id/2021/08/23/salah-video-warga-pemulutan-salah-satu-kampung-di-kab-ogan-ilir-sumsel-sdh-akrab-bermain-dg-buaya/
[SALAH] Tautan Pengecekan Penerima BSU dari BPJS Ketenagakerjaan,"Agustus 23, 2021",https://turnbackhoax.id/2021/08/23/salah-tautan-pengecekan-penerima-bsu-dari-bpjs-ketenagakerjaan/
[SALAH] Pesan Berantai dari Ketua Satgas Covid-19 Dwiyono terkait Metode Menghirup Uap Air Panas untuk Membunuh Virus Corona,"Agustus 23, 2021",https://turnbackhoax.id/2021/08/23/salah-pesan-berantai-dari-ketua-satgas-covid-19-dwiyono-terkait-metode-menghirup-uap-air-panas-untuk-membunuh-virus-corona/
"[SALAH] Jokowi Lepas Baju PDIP, Megawati Murka","Agustus 23, 2021",https://turnbackhoax.id/2021/08/23/salah-jokowi-lepas-baju-pdip-megawati-murka/
[SALAH] John Cena Meninggal Dunia,"Agustus 22, 2021",https://turnbackhoax.id/2021/08/22/salah-john-cena-meninggal-dunia/
[SALAH] Video “Biang covid bill gates kena timpuk dari orang yg geram padanya”,"Agustus 22, 2021",https://turnbackhoax.id/2021/08/22/salah-video-biang-covid-bill-gates-kena-timpuk-dari-orang-yg-geram-padanya/
[SALAH] Kuota Gratis 150 GB dari Kemkominfo dalam Rangka Memperingati HUT RI ke-76,"Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-kuota-gratis-150-gb-dari-kemkominfo-dalam-rangka-memperingati-hut-ri-ke-76/
[SALAH] Foto Wanita Afghanistan yang Kakinya Dirantai oleh Suami Mereka,"Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-foto-wanita-afghanistan-yang-kakinya-dirantai-oleh-suami-mereka/
[SALAH] Akun Instagram PT INTI @ptinticareer.official,"Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-akun-instagram-pt-inti-ptinticareer-official/
[SALAH] Video Lagu “Gebyar Gebyar” Dinyanyikan oleh Penyanyi Asal Spanyol saat Upacara Penutupan Olimpiade Tokyo 2020,"Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-video-lagu-gebyar-gebyar-dinyanyikan-oleh-penyanyi-asal-spanyol-saat-upacara-penutupan-olimpiade-tokyo-2020/
[SALAH] Hewan Mati Bergelimpangan karena Efek Radiasi 5G,"Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-hewan-mati-bergelimpangan-karena-efek-radiasi-5g/
"[SALAH] Mesin Jahit Milik Istri Nabi Muhammad, Aisyah binti Abu Bakar","Agustus 21, 2021",https://turnbackhoax.id/2021/08/21/salah-mesin-jahit-milik-istri-nabi-muhammad-aisyah-binti-abu-bakar/
[SALAH] Oseltamivir Obat Covid-19 Berbahaya dan Mematikan,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-oseltamivir-obat-covid-19-berbahaya-dan-mematikan/
[SALAH] Akun Whatsapp Kepala Seksi Intelijen Kejaksaan Negeri (Kejari) Gianyar I Gede Ancana “+6287875186***”,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-akun-whatsapp-kepala-seksi-intelijen-kejaksaan-negeri-kejari-gianyar-i-gede-ancana-6287875186/
[SALAH] Informasi Vaksin Dosis 1 dan 2 16 Agustus 2021 di RSAL dr. Ramelan Surabaya,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-informasi-vaksin-dosis-1-dan-2-16-agustus-2021-di-rsal-dr-ramelan-surabaya/
[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-sertifikat-vaksin-covid-19-bukan-syarat-administrasi/
"[SALAH] Pesan Berantai “Telah berpulang Ibu Hj Sinta Nuriyah, (istri Alm Gus Dur) Kamis 19 Agustus 2021 11.30 WIB”","Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-pesan-berantai-telah-berpulang-ibu-hj-sinta-nuriyah-istri-alm-gus-dur-kamis-19-agustus-2021-11-30-wib/
[SALAH] Ustad Yahya Waloni Meninggal Dunia,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-ustad-yahya-waloni-meninggal-dunia/
[SALAH] KSAD Jenderal Andika Perkasa Adu Otot dengan Tentara Amerika Serikat,"Agustus 20, 2021",https://turnbackhoax.id/2021/08/20/salah-ksad-jenderal-andika-perkasa-adu-otot-dengan-tentara-amerika-serikat/
"[SALAH] Munarman Kritis Total, nasibnya memilukan","Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-munarman-kritis-total-nasibnya-memilukan/
[SALAH] “PPKM DILANJUTKAN SAMPAI HARI KIAMAT”,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-ppkm-dilanjutkan-sampai-hari-kiamat/
[SALAH] Pernyataan Dr. Ir. Hj. Sri Nurdiati “Panik karena masker sampai lupa Pentingnya Antibodi”,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-pernyataan-dr-ir-hj-sri-nurdiati-panik-karena-masker-sampai-lupa-pentingnya-antibodi/
[SALAH] Akun Facebook Bupati Melawi Menawarkan Jabatan Pegawai Aparatur Sipil Negara,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-akun-facebook-bupati-melawi-menawarkan-jabatan-pegawai-aparatur-sipil-negara/
"[SALAH] Foto ” NASA before PowerPoint, 1960s”","Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-foto-nasa-before-powerpoint-1960s/
"[SALAH] Foto Planet Merkurius, Venus, dan Saturnus Sejajar dengan Piramida Giza","Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-foto-planet-merkurius-venus-dan-saturnus-sejajar-dengan-piramida-giza/
[SALAH] Presiden Vladimir Putin Mainkan Lagu Indonesia Raya dengan Piano,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-presiden-vladimir-putin-mainkan-lagu-indonesia-raya-dengan-piano/
[SALAH] Video Mata Manusia di bawah Mikroskop,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-video-mata-manusia-di-bawah-mikroskop/
[SALAH] Foto Aksi Demo Paspor Kesehatan di Paris pada 7 Agustus 2021,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-foto-aksi-demo-paspor-kesehatan-di-paris-pada-7-agustus-2021/
[SALAH] Masyarakat Suku Baduy Tidak Pernah Divaksin dalam Ratusan Tahun,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-masyarakat-suku-baduy-tidak-pernah-divaksin-dalam-ratusan-tahun/
[SALAH] Foto Panorama yang Diambil saat Berguling Menuruni Bukit,"Agustus 19, 2021",https://turnbackhoax.id/2021/08/19/salah-foto-panorama-yang-diambil-saat-berguling-menuruni-bukit/
[SALAH] “Real Madrid Pindah ke Liga Inggris”,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-real-madrid-pindah-ke-liga-inggris/
[SALAH] Jasad Ulama Lombok Hilang Saat Dimakamkan,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-jasad-ulama-lombok-hilang-saat-dimakamkan/
[SALAH] Pesan Singkat Shopee Bagi-Bagi Hadiah Rp175 Juta,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-pesan-singkat-shopee-bagi-bagi-hadiah-rp175-juta/
[SALAH] Jaya Suprana Meninggal Dunia,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-jaya-suprana-meninggal-dunia/
[SALAH] Akun WhatsApp Wakil Bupati Ponorogo Menggalang Donasi untuk Anak-Anak Yatim Piatu,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-akun-whatsapp-wakil-bupati-ponorogo-menggalang-donasi-untuk-anak-anak-yatim-piatu/
[SALAH] Video “TERNYATA MENAG YAQUT PINDAH AGAMA DAN DIBAPTIS”,"Agustus 18, 2021",https://turnbackhoax.id/2021/08/18/salah-video-ternyata-menag-yaqut-pindah-agama-dan-dibaptis/
[SALAH] Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya,"Agustus 17, 2021",https://turnbackhoax.id/2021/08/17/salah-grab-berikan-bantuan-sembako-senilai-rp80-ribu-untuk-warga-surabaya/
[SALAH] Foto ‘Blue Java Banana’,"Agustus 17, 2021",https://turnbackhoax.id/2021/08/17/salah-foto-blue-java-banana/
[SALAH] Video Pesawat Kertas Hasil Eksperimen Guru Fisika,"Agustus 17, 2021",https://turnbackhoax.id/2021/08/17/salah-video-pesawat-kertas-hasil-eksperimen-guru-fisika/
[SALAH] Pemuda Indonesia Menculik Turis Nigeria dengan Latar Belakang Rasisme Terhadap Orang Kulit Hitam,"Agustus 17, 2021",https://turnbackhoax.id/2021/08/17/salah-pemuda-indonesia-menculik-turis-nigeria-dengan-latar-belakang-rasisme-terhadap-orang-kulit-hitam/
[SALAH] Megawati Mundur dari Jabatan Ketua Umum PDIP,"Agustus 17, 2021",https://turnbackhoax.id/2021/08/17/salah-megawati-mundur-dari-jabatan-ketua-umum-pdip/
"[SALAH] “Manusia Tertua 200 Tahun ternyata masih hidup, namanya Mbah Harjo Suwito”","Agustus 16, 2021",https://turnbackhoax.id/2021/08/16/salah-manusia-tertua-200-tahun-ternyata-masih-hidup-namanya-mbah-harjo-suwito/
[SALAH] Subsidi Hadiah Nasional Berkah Energi Pertamina Periode 3,"Agustus 16, 2021",https://turnbackhoax.id/2021/08/16/salah-subsidi-hadiah-nasional-berkah-energi-pertamina-periode-3/
[SALAH] Video Warga Jerman Menghentikan Permainan Musik saat Azan,"Agustus 16, 2021",https://turnbackhoax.id/2021/08/16/salah-video-warga-jerman-menghentikan-permainan-musik-saat-azan/
[SALAH] Tautan Survei Berhadiah dari Honda untuk Memperingati HUT Ke-70,"Agustus 15, 2021",https://turnbackhoax.id/2021/08/15/salah-tautan-survei-berhadiah-dari-honda-untuk-memperingati-hut-ke-70/
[SALAH] TV Nasional tidak Memberitakan Prestasi Syamsuri Firdaus Juara 1 MTQ Internasional di Turki,"Agustus 15, 2021",https://turnbackhoax.id/2021/08/15/salah-tv-nasional-tidak-memberitakan-prestasi-syamsuri-firdaus-juara-1-mtq-internasional-di-turki/
[SALAH] Tidak Boleh Mengonsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin Covid-19,"Agustus 15, 2021",https://turnbackhoax.id/2021/08/15/salah-tidak-boleh-mengonsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19/
[SALAH] Video “BERITA VIRAL ~ AZAB TUKANG NYI NYIR BERAKHIR BEGINI ~ BERITA TERBARU HARI INI SBY DEMOKRAT”,"Agustus 15, 2021",https://turnbackhoax.id/2021/08/15/salah-video-berita-viral-azab-tukang-nyi-nyir-berakhir-begini-berita-terbaru-hari-ini-sby-demokrat/
[SALAH] Hasil Perhitungan Data Orang yang Sudah Divaksinasi Lebih Banyak Terpapar Varian Delta dan Peluang Kematian Lebih Tinggi,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-hasil-perhitungan-data-orang-yang-sudah-divaksinasi-lebih-banyak-terpapar-varian-delta-dan-peluang-kematian-lebih-tinggi/
"[SALAH] Presiden, Menteri Agama, dan TV Nasional Tidak Mengucapkan Tahun Baru Islam","Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-presiden-menteri-agama-dan-tv-nasional-tidak-mengucapkan-tahun-baru-islam/
[SALAH] “Seragam Baru Polri Seragam Lama Coklat untuk Satpam”,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-seragam-baru-polri-seragam-lama-coklat-untuk-satpam/
[SALAH] Gambar Tangkapan Layar Artikel Detik.com berjudul “Demokrat protes pesawat Warna merah putih melintas di hambalang”,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-gambar-tangkapan-layar-artikel-detik-com-berjudul-demokrat-protes-pesawat-warna-merah-putih-melintas-di-hambalang/
[SALAH] Akun Facebook Direktur Jenderal Badan Peradilan Umum Prim Haryadi,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-akun-facebook-direktur-jenderal-badan-peradilan-umum-prim-haryadi/
[SALAH] Bantuan Subsidi Upah KEMNAKER Meminta Data Calon Penerima,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima/
[SALAH] Akun Whatsapp Wali Kota Surabaya Eri Cahyadi “0831-2295-5675”,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-akun-whatsapp-wali-kota-surabaya-eri-cahyadi-0831-2295-5675/
[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010,"Agustus 14, 2021",https://turnbackhoax.id/2021/08/14/salah-rockefeller-foundation-telah-rencanakan-skenario-pandemi-covid-19-sejak-2010/
[SALAH] Gambar Kebakaran Hutan Turki Tahun 2021,"Agustus 13, 2021",https://turnbackhoax.id/2021/08/13/68132/
"[SALAH] Video “BERITA TERKINI ~ DICULIK DAN DI SEKAP, PENGAKUAN KETUA HMI MENGEJUTKAN. BEGINI ULAH NGABALIN”","Agustus 13, 2021",https://turnbackhoax.id/2021/08/13/salah-video-berita-terkini-diculik-dan-di-sekap-pengakuan-ketua-hmi-mengejutkan-begini-ulah-ngabalin/
[SALAH] Lowongan Kerja PT. Tempo Scan Pacific Tbk,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-lowongan-kerja-pt-tempo-scan-pacific-tbk/
[SALAH] Akun Twitter Akulaku,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-akun-twitter-akulaku/
[SALAH] Foto Pesawat Kepresidenan Melintas di Proyek Hambalang,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-foto-pesawat-kepresidenan-melintas-di-proyek-hambalang/
[SALAH] “Perlawanan rakyat Australia akan rencana New World Order”,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-perlawanan-rakyat-australia-akan-rencana-new-world-order/
[SALAH] Burger Ayam KFC dan Bumbu-bumbunya Mengandung Babi,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-burger-ayam-kfc-dan-bumbu-bumbunya-mengandung-babi/
[SALAH] PT Sido Muncul Bagikan Dana Bantuan Rp175 Juta,"Agustus 12, 2021",https://turnbackhoax.id/2021/08/12/salah-pt-sido-muncul-bagikan-dana-bantuan-rp175-juta/
[SALAH] Bantuan Rp500 Ribu dari Kementerian Sosial RI,"Agustus 11, 2021",https://turnbackhoax.id/2021/08/11/salah-bantuan-rp500-ribu-dari-kementerian-sosial-ri/
[SALAH] Lowongan Kerja Crew Runner PON Papua 2021,"Agustus 11, 2021",https://turnbackhoax.id/2021/08/11/salah-lowongan-kerja-crew-runner-pon-papua-2021/
[SALAH] Pesan Whatsapp Kasir Alfamart Salah Input Voucher Game,"Agustus 10, 2021",https://turnbackhoax.id/2021/08/10/salah-pesan-whatsapp-kasir-alfamart-salah-input-voucher-game/
"[SALAH] Virus Corona Katanya Ganas dan Mematikan, Tapi yang Mati Selalu di Rumah Sakit","Agustus 10, 2021",https://turnbackhoax.id/2021/08/10/salah-virus-corona-katanya-ganas-dan-mematikan-tapi-yang-mati-selalu-di-rumah-sakit/
[SALAH] Video “Lagu Bengawan Solo di Penutupan Olympiade Tokyo”,"Agustus 10, 2021",https://turnbackhoax.id/2021/08/10/salah-video-lagu-bengawan-solo-di-penutupan-olympiade-tokyo/
[SALAH] “Pesawat dilarang terbang di atas Ka’bah karena Ka’bah adalah pusat bumi dan pusat tarikan magnet”,"Agustus 9, 2021",https://turnbackhoax.id/2021/08/09/salah-pesawat-dilarang-terbang-di-atas-kabah-karena-kabah-adalah-pusat-bumi-dan-pusat-tarikan-magnet/
[SALAH] Seluruh Objek Wisata di Kabupaten Pangandaran Telah Dibuka Kembali,"Agustus 9, 2021",https://turnbackhoax.id/2021/08/09/salah-seluruh-objek-wisata-di-kabupaten-pangandaran-telah-dibuka-kembali/
[SALAH] Video Wawancara CEO Pfizer yang Menolak Divaksin pada Agustus 2021,"Agustus 9, 2021",https://turnbackhoax.id/2021/08/09/salah-video-wawancara-ceo-pfizer-yang-menolak-divaksin-pada-agustus-2021/
"[SALAH] Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac","Agustus 9, 2021",https://turnbackhoax.id/2021/08/09/salah-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac/
[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19,"Agustus 8, 2021",https://turnbackhoax.id/2021/08/08/salah-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-virus-lain-dari-covid-19/
